Block,Median Income,Employment Rate,Total Population,Poverty,Total Housing Units,Renter-Occupied Units,Electric Heating Units,Gas Heating Units,Oil Heating Units,Median Year Structure Built,after2014,2010to2013,2000to2009,1990to1999,1980to1989,1970to1979,1960to1969,1950to1959,1940to1949,pre1939,house_ids
812103-1,52154,565,1104,85,435,189,122,136,154,1953,0,0,0,38,62,11,25,132,13,179,"['b1eb5eb2', 'b1eb5eb2', '70e974b0', '70e974b0', 'ebb6aac2', '315d5e4c', '82b368bb', '999e7fe2', '75290779', '1e16f11d', '03f1d7fa', 'd7514804', 'c8cd1e93', '13d85cb8', 'ad17ec75', '9b79274a', '8aa67b90', 'db5e5d62', '14f1467f', '8b3ac2ec', 'f0bbd964', '346941ca', 'ffe7ecf7', 'beba11d0', 'b1a89e5e', '8d712405', '657f7593', '5b9fe263', '0c088dad', '5c115a2d', 'e265d120', '770ea336', 'a8cee288', '648af36a', '6fba9569', '51d2fb3e', '0133e530', '74f1d1a5', '4b3db5c9', '9502e42f', 'c5e3cef4', 'a84aeaeb', '3eec7274', '37e7901b', 'fa400534', '6eae708e', '613f4f51', '4ec1d9fe', '4ec1d9fe', 'da3ef46e', 'a3f6a43c', '1ae58687', '38ac10ac', '03b1e0ec', '9196ae6e', 'c268d529', 'f4d373ee', '3e3ae44a', '8a5f13c4', '68f41613', 'e9fea5af', '983067d4', 'ff79e114', '36af3067', '01a6816a', '04997f75', 'eb72b115', 'cc91177b', '9d3a7bd9', '409757c3', '922c0cce', '87ad0d03', '87ad0d03', 'dfce2a7a', '2387370e', '10e50419', 'b8751814', '522cbba7', 'ece36fe8', 'cbbbca25', 'de84565b', '4654c086', '58dadcb0', '67674858', '57aa3d11', '8cf4cf2f', '26cbd5c2', '0504b81b', '4dc17d0b', '522e8738', '6ce78fc8', '1627788c', '4ffa53dc', '9e5ee9c4', 'b74d9697', 'fad9de5e', 'fad9de5e', 'cecf1620', '16c20db4', 'c0c94307', '95226c3d', 'f81dbe38', 'cdc153b6', 'bdd7dbaa', '63cf68e8', 'ba150dea', '8ca990de', '545f2a04', '0a454c35', '84928cde', '316e0032', 'c1e4ff43', '9c665b3a', 'd30b221d', '98c0f7a4', '96c10726', 'd0c077f5', '41b2c7aa', '00dab67d', '1d0a06ab', 'e76c692b', 'bd12f2e2', 'ebb5d9fc', 'dd14516e', '9b421dd0', '9b421dd0', '9ec5f8d6', '55ef0986', 'a37b8251', '227a08ba', '36a8df2a', 'd077abef', '82d57a4e', 'b4c5af57', 'cb602bb2', 'a2ac8412', 'e9245fe4', 'b202e989', '2dac8bd3', '82d57a4e', 'fc183da1', '06e1e3f3', 'cd8d85e0', '8c44ef15', 'd90be7a1', '7439458d', '661fe168', '73b232ca', 'd7f1e8c9', '2b45f2a1', '93bcac11', '3bd377f5', '507de833', '7274f5e7', '6d9b1514', 'ca04f82a', '2ddab08d', '2b7666ee', '10047df9', 'b4a21fba', 'f37e2cac', 'da03aab3', 'a79f0db4', 'f16110ab', 'd347f95f', '7d69fbd8', '6254ec6d', 'db37e8cd', '42b1212a', 'a6390520', '2d7fac11', 'e7423857', 'c21daf8b', '2cdc9b43', '9037f634', '26a36d53', '0e2903fb', 'cf6279f5', 'f2a6cfb2', 'decc01b0', 'd73687cd', '64c760d6', 'e27a37bd', '5ab19d7c', '59114761', '17925dde', '76fca116', '510d5b72', '51f28eeb', '64068763', 'fe574254', '776d0b79', '46685582', 'd6b7cef8', 'f135dd95', '55f522f1', 'a8e3fcd5', 'b5890e24', 'e67fcb15', '060cfc25', 'ef1a1cb9', 'c2de6d61', '204f5d60', '133e93d1', 'fc5555c2', 'db4f3776', '60a39a89', '951650a5', '4ac9f7c4', 'da0f745a', 'f2d98dfb', '6811728c', 'e32b53f0', '213d50e5', '00661781', 'a78e4728', 'dd56b0d6', 'a0fbcc11', '366fdf38', '88d8d513', '245ae054', '06703b00', 'f9d5d12a', 'ca8dc8d6', '962310af', '4535faec', '85625223', '5241f947', '499b460b', '3f6c21a8', '8de545ba', '25c307f0', '3cf5c1dd', 'ef09abfd', '4d0eed4b', 'b258cf12', 'fd6a563c', 'd0d14529', '0a2ac8db', '90dfaacf', '10ce9770', 'e0cc9d4f', 'a84b87c4', 'a13223b6', '749c4f8c', 'd8266b3f', '664a80d3', '4bcac209', '99f530b6', 'bd223878', 'de85d208', '4f3afa54', 'f711ea85', '9980a6a2', 'f4b2b2b0', '5dd13696', '39687eb1', '91a65efe', '2c0512a8', '9c6c46f1', '53599a3d', '062b2c89', '9cfab35f', '900f688b', '4b690e4e', '4b62f4d3', '2c0b82ec', 'f1abc3b7', '4736ab58', '4736ab58', '2580433f', '5f2ea1bc', '4404f07a', 'c80d812b', 'b2b3cee4', 'cfa77882', '042d102a', '777dd9ee', '463153b2', 'efc5d8fe', 'b54768b4', '09c72888', '1aa6af56', '16ea1250', '8dc7800e', '2a782aa0', '78299863', '64fd3073', 'af57e957', 'dc62856b', 'b0098713', '693c1f62', '2bc45214', '396c3f41', '4c6e8d80', '20460a5a', '786eb0a3', '1550c380', '198132d3', 'a56e105d', '4f3d85bb', 'f1524065', '725278c5', 'f28f4d60', '0a1ebc9e', '39dedabf', '8ee352a0', 'd27228b3', '6d79a2fd', 'ca50b9ff', '2287c591', '84c66701', '65cabe49', '76c9df70', '75b7beef', '2796f89c', 'a2961c31', '65e18004', '04efaf41', '56c1234b', '7d2168d5', 'b336e907', '592cba6b', '3a7a874a', '802d2131', '5e2435ff', 'ce55a1a5', 'c1513ee4', '99776db1', 'f218846f', '55d04d6a', '70628f07', 'ad13f705', '733ecf19', 'b95bf2dc', '5222b9c6', '74ff3195', 'd9d2b6b9', 'c8a33dc3', '64d4ec6b', '2da48687', '7d924836', 'b5615774', '6dceb323', '5b228b8c', '1cfe4e9a', '74c29931', '3f921a4a', '74a0994a', '48fecea4', '124957be', '2116eda4', 'f594b882', '36bed8c3', '31a90256', 'f95c5134', '2370600a', '14f050a2', '981e7c19', 'd9bf41ed', '32c51349', '22efe605', '7dda8201', '2691d8e0', '8763a407', '7cd4246c', 'c6920332', 'aab20da2', '2a4e44c1', 'e5314f35', 'c4426e3e', 'e66906cb', 'd5ce789c', '9dc0b4c1', 'd8ccc079', '6689ed64', '6fdb2ef5', '9f69b980', 'b70d549f', '78b9daa4', '101db300', 'df2cb800', '43d07096', '4e478c37', '885fab7b', '3be382a4', 'f42cf145', '2b8920f1', 'd90d566f', '85d65300', 'aeaf4433', '7a93778b', '052f5941', '8a230d2e', 'e5c86cda', '4a1e5146', '6827f73b', 'f05fb7ee', 'c57acc91', 'e914330d', '00166c5e', 'd0782e2a', 'b824e847', '66755f6a', 'd17ec43e', '683d2a11', 'c1178711', '6f1f2f8c', 'd4ce7cf6', 'ac9050d1', 'f45ca55a', '4a0494ba', '3493e819', '82faf63d', '0e16e32b', '325fc0da', '34b76729', '476fbb60', 'd8a0f7fa', 'd95fad3a', '85f2b390', '57582a84', '566149ad', '1bfc733b', '7d947b5d', 'da53850c', '786a349c', '4bf86720', '850e40a5', '89ad057e', 'e70959f0', 'a2cc84bf', '7b917486', '7b917486', '992a02ca', '510ccf86', 'e1bef4ba', 'b1f6c566', '54f6887b', '7277691c', '834f8574', '6654ead5', '90e5560a', '917e5304', '4e442322', '21f1280e', 'e283dce3', 'ee7ca2c6', 'ad264793', '69a1576a', '1b83f69f', '2c2521f4', '4ecec2fe', 'ad529b5d', '95e465e2', 'b9a364b3', '794b14d6', 'e40e8d45', '65aef6e0', '5ebd837d', 'f455a1f7', '68533d61', 'e9018a66', 'd309c682', '54201572', 'b0b27090', 'fc9841f9', 'fbdf0075', '7d14ec7d', 'd410e67a', '4b2ee106', '5ee1bd4c', '131a876b', 'a7e6e6c0', '038caaf1', '8af2a82b', '736db924', 'b7a0676b', 'e3ae727d', '2669eb41', '79859a1b', 'ee88b8e8', '0c047f43', '5362cda8', '8cf8394c', '3623d114', '09672afc', '6cf3e8b4', '5adb4d18', '71b6a057', '197e9e59', 'f6a6ef64', '4736ab58', 'f02750fa', 'a80ff926', '61085f8a', '63e83c8e', '323e0dab', '1e0a0700', '1d0d6856', 'de245f4f', 'fc1937da', '333ad62a', 'c32d13a7', '9e6d5dab', 'def30587', '2669eb41', '2669eb41']"
811800-3,43850,548,1020,70,463,329,153,147,153,0,0,0,0,0,0,0,6,19,51,460,"['a90ea0b3', '049bf03c', '38f3e825', '3f8f36b9', '17472a4a', '6327fb60', '06f20772', '6da3f6af', '818a4b6d', 'e5b51521', '64c92919', '890c7e13', '49727fa1', '2b900307', 'a2617873', 'c308f593', 'f50bc8cc', 'f5f5229b', 'd8e6bdac', 'eae67271', '3d8bb9c0', '179f0147', '75d402bc', '0200be2f', '71527d20', '504ee19f', 'b2ebb817', '452dddce', 'b67f88dd', 'c9a1bec2', '0bfa4012', '036d9063', '22797e6b', '618c03d2', '8d15db73', 'ad4965df', '24476cae', 'fb2991fe', '0a904115', 'b86b05a2', 'e11076e3', '0bde8e9b', '47e8da2f', '43831509', '2ae213b3', 'd78c44e8', 'e1113dd7', '81cf5277', 'd9ecba7c', '9d0ba7d0', '6cbd26d3', '7fea65af', 'f0244b95', 'd7e8ca17', 'e318047c', '6c683d48', 'a42b4dd8', '6d8ea02b', '2ec964df', '298356e5', 'ee800aec', 'e24e185f', '3d17a46c', '9211a6a5', 'be2c4554', 'a89e197b', '0a69a6ce', '56d7e046', '98261cb7', '9dc12ee3', 'a15687f8', 'd12c73ab', '8797d3d1', '6d988c20', '355f0cac', '4a14ee08', '85de3e72', '31a3024b', 'aa750374', '68935748', '9e4ab2ea', 'e6b8ddc6', '2706aee5', 'c6bc7b09', 'bdb3e05f', 'e6e3ef9c', '1c4a9c0f', 'c63a95e2', 'dbc5ec69', 'aeceeddc', '593ad744', '2b712578', '2df07837', '47076b31', '1737061e', 'babdaf55', 'f5accf01', '5cf8efd5', '79c5a680', '65b83a97', 'c67e47c5', 'a3dde808', 'f771a1c0', '9d1c570e', 'b60974c5', 'b6df5523', 'bac85d90', 'c756adae', '8b82fc40', '37886880', 'fa10ba16', '2c248d1d', '68f7f1c5', '4ac85030', 'e381c6f1', 'c150e8c1', '09827a69', 'cf002e1b', 'f3ee358b', 'a613a82f', 'f22962ef', 'fed893c4', '88de93af', 'c31686bf', '9bc89897', '7f9b123e', 'c8d56580', 'a9cc5d4d', '1847d73e', 'ab2af64b', '5bca40e1', '8c45588b', 'ff336613', '29e058a1', '3f061d04', '878086b1', 'fae735cd', '7e025b75', 'cfcd356b', 'cba7fbaf', 'da21753a', 'b2955678', 'c05d33af', 'db738597', '95586836', '6a9af840', 'f73d6b07', '69c529de', 'd31bbde7', '5f01208b', 'd8de3887', '2970d56c', '5310bb34', 'c2f62ba2', '11199a0c', '3a1c933f', 'c18f2879', 'fee28c87', '49c36a62', 'c763702f', 'd3bebc87', 'f6ad3c87', '19c85fcc', 'd7c56729', 'b98cdd2b', '103b5bc0', '665891af', '5b436f9b', '5cdd14e0', 'b40caa4f', '0c004d75', '4c2ec3dc', '8ad4341a', 'ed25c72e', '9e85740d', '346b7b04', 'c7b05821', 'db032613', '9bcbeb63', '9230476f', '21ccee07', 'b159a3aa', 'c95ec490', 'a3ba84fb', '8fa341fe', '53cf527a', 'e1291c00', 'cc9ec9b9', 'ff32e1a7', '5bfccb51', '28fad8d1', 'c4cb0126', '3df5710d', 'cc3a875c', '9270926c', '1fd90f9c', 'bfef5e11', '6827c5d4', '79e467e6', 'bd97df36', '36a30f7c', '4b27f86e', 'df876607', '3287a494', 'cc7eef7c', 'bc716004', 'b04509fb', 'ef70d5e8', 'ecf9dea6', 'a66fe42d', '7593d989', '8fd2dcf2', '08201933', 'a53cc9e8', '29aa63d2', '67881cf1', 'e1626647', '6536e584', '85d89fe7', '4822c12f', 'af740f7d', 'd1141f76', 'a083819e', 'b45a1476', '895b4a7f', 'aeb8fbf2', 'fd6229d6', '33edd6b8', 'ecbe51ed', 'f4f55107', '5a72bf1f', '0b09317f', 'a8d53630', 'c0416da3', '30abd0be', 'bb19fd94', 'f158de7b', '78fc03c2', '0f21816c', 'fb6ca362', '54fafc70', '27b1b24f', '054706cf', 'eec50999', 'dc38fa15', 'b972fbc1', '1a9080ab', 'a3567aad', '1c7e8bb9', 'baba8df1', '9e07d328', '07042645', '84809d0e', 'b9d31896', 'd92ab36c', 'a970308d', 'b0d2d048', 'ff77a711', '45a47d7a', '96c3560d', '77894486', 'c33bfcf0', 'c1e05713', 'ba808f64', 'a415b465', '3c1f852e', '372027a9', '803c15fc', 'd148c644', 'de77e560', '06e4f246', '2acafb4e', 'ea0a85ce', '199bf0fb', 'e512fefe', '76ee90e7', '760a9427', '2a841b92', '28de15f6', '90504e85', 'd00d6cf7', '57469199', '598be06c', 'f9867933', '8e51a151', '2d03b8b3', 'dbea6f81', '5f3d03c7', '943668d8', 'c03cf3dc', '87d895a5', 'f3c8bc72', 'd34f8cc5', 'dc6a25f9', '1682f5e6', 'f84606bb', '8ea01ae4', 'ea122625', 'bc7ffb42', 'bb2283be', 'd591049b', '358275db', 'e979c22e', 'b84a47ed', 'de9815d8', '76ef0e45', '8460f556', '3bc758b6', '92a78221', '0def155d', '6a146220', 'd08b101b', 'd581c423', 'eb75bdd8', '030d2c35', '10877f7c', '8ae4bf58', '9394c905', '0928be76', 'ba551603', '9760f23c', '6fa85e3f', 'f08b975e', '80a8bc34', '9834d1bc', 'a2f3bdda', '2c98db11', '4eddfe1e', 'df81bc51', 'c0fd18d9', 'c99690fe', '3125796d', 'd6523cb6', '4fcaf41f', '013dd4f4', 'fa4beff7', 'f094be04', '683adaab', 'bdb36a68', 'de959376', '44b14544', '05cce9b0', '9f78a29d', '537367d5', 'f5dfc164', 'cd30d7d0', '8b479cf5', '5862aad2', '95ad8c7d', 'bf9641e9', '45b274fe', 'bf644847', '6ea10ac6', 'bb68a4f9', '01e13df8', '7370daec', 'c3e7220d', '62ca1362', '761bcf96', '8d78c5bb', '34394bbf', '1c984bbd', '8eb1aa5f', '464cefea', '555dba1e', 'e9a8672c', 'e5e3df3b', 'c062e1f0', '9963cab6', 'a579b1ef', 'ca8394c1', '7e81668d', '97a67499', '88e5d654', '95581772', 'e8670156', '4386b774', '649c3b8d', 'f346b270', '93895e55', 'be107db6', '70d21966', '32d65a11', 'c0a9991c', '6cdfee18', '043aba9f', '7e6e901c', '11259473', '99e44821', '2777291f', 'f47acb58', 'a2d63c17', 'eb68dd38', '4e11f22d', '41da2215', 'c30a5498', '446a609a', 'bbcc7682', '648c8a77', '7e4d93e7', '51dcbccb', '6a715160', 'b11f9064', 'd238bdec', '8e0864db', '8cfa0e62', '7a5e2def', 'bd347423', '6c640536', '21ab419b', '737ac95c', '2cadf2d7', '31a15334', '3b94ca9b', '75d16cb1', '0281f7d0', '79a39233', 'f526e272', '54bea91f', '78d9bbe7', 'a6448348', 'bded86e3', 'f1ae3ed5', '14dfe17f', '3712e836', 'd096de26', '8a7352ac', 'ed6f0b4c', 'e5556cbd', 'd7d0161c', '431d7a50', 'bce96feb', 'c44d8055', '16ede0e0', 'c3b56783', '62de3e82', '9d8aa07c', '3f7f07a1', 'f698ebaa', '2374066f', '06187200', '91996bfc', '403cb0e2', '465ac66d', '2fe0dea8', '97ae1edd', '7df65c88', 'a0047f45', 'fcf5b548', '25513cde', '3f4bc635', 'a69959df', '0c46eee9', '970be326', '699184d6', 'f04c1e49', 'd4851335', '89e35e7f', 'f1617f82', 'aa09885a', 'b7d46f65', 'e26a1ff5', '0f073eab', 'c0e3bb77', 'a006f8bd', 'a7c1d76d', '7d739a2a', '8fb3b8d9', 'ed73dc86', 'd719b0dd', '7e8b1025', 'f734d856', '5257c2fd', '9283dd50', '3298db39', 'e71cfae4', '6d58a2c2', '8ccdd0e7', '522a8074', 'e40682a3', 'f74d3140', 'd08399c1', '43e8105b', '1bafccb7', 'd88b0682', '8a070e3c', 'e9b51bfd', '7aa9471e', '19f2eaef', '89b97cab', '5841f84e', 'dc822381', 'da633582', '14d23f2e', 'f4f55107', 'e366ac33', '044dd179', 'a1986f2b', 'cbbdef2b', '5bdb19ad', '5e4f95bf', '1d4ec0fe', '7ad8873b', 'f5413633', 'ee8060ce', '18b1b16a', 'd45704dc', 'ed85b60e', '7862d3c8', '32667ff4', 'c096c366', '6163625f', 'ee656f59', '41bcfa17', '222fc08f', '1ef65af0', 'bf2b8838', '3d2307d7', '83d8441d', '72447ae9', '8b5eec73', 'faeb0481', 'e9342c09', 'f96f96fd', '572e1877', 'b6681cdb', 'a860e3e4', 'd04d6ba4', '22a3c741', '531ff2da', '6712e9ab', '531ff2da', '0ad20088', '0e99cd59', '502efdf2', '986cfba3', '1bbbd900', 'f42fa5d1', '6d803eae', '31169242', '8fd26cd7', '8fd26cd7', '55aa907f', '4cd186f0', 'cbd8ce56']"
812001-3,22670,340,807,79,483,394,188,214,30,1941,0,0,0,22,24,10,74,60,79,246,"['b2dc9fbe', '569aaf4b', 'ac2f7c77', '12f38b20', '12f38b20', 'd20383a7', 'd511687a', '67be02f2', 'e2d3d42a', '81db67a0', '74db9be9', '6f8110b0', '90b39f24', '7c1abce2', '364eaa32', '883a6194', 'df5a8754', '5dcfb1cb', 'c787f238', '1e9ad36e', 'd5d6b54f', 'f1d2b01a', '9947400d', '8a25e016', '4309718c', '12c881dc', 'e72eab40', '1375100c', '5dfa6645', 'd66548bf', 'abc755cc', 'b1927efe', 'fd2bd2a1', 'c0600c8d', 'bfe3a01f', '9f1d1820', '726d36be', '821521e3', '7008dfe6', 'dcaea4a9', '4cf7e1aa', '45c64776', 'd5e1179f', '210c5231', '74fde5cf', 'ef03c41a', 'edc0b190', '9a42cb08', '88c0c842', '1ed32d7e', '8a736ff9', '53f4f611', '49717741', 'af1bb358', '65bbd632', 'eaef370e', 'e72b87f2', 'f6494aa1', 'add09f3c', 'e00b76c7', '38e2636d', '4cc7024d', '58b3d74a', '65edab0a', '6c969158', 'ca6685e4', '92383c50', '9605a7ab', 'd238fd8c', '1ff9685a', '34965243', 'fc49bc5a', '7342b948', 'dc3b4a5a', '5cf0bbeb', 'd5a0cd45', '3f058a5f', '00fa07c7', '57631eb7', 'a37ca8e2', 'e019b82e', '0b39e5f3', '99bdc9b4', 'cfe351e0', '2de4153b', 'df388952', 'b7c76cb3', '61359319', 'c71632ed', '69fe0ee8', 'c6f9fd64', '424035ab', '53880724', 'b8e9e8f5', 'c291d388', '44b9e8ec', 'b1ec84b9', 'cc34d067', '2c2d0b30', 'c5e7d3ef', 'bdb54b4c', 'bb591ae6', 'fb1fd4e8', '8b08d497', 'fb7301b1', '940dc356', 'd8779096', '834530a6', '8240c26a', 'c4788be0', 'bd5f70a5', 'ae33abd6', '357deac7', '1c0e6528', '3ed1c79c', 'c49977f5', '1fdf3cb3', '6807ffb2', '94b2aee3', '64fa99c1', 'f83e274e', 'e92be4b0', '8b18c127', '3130dffc', '75814487', '43405f11', '41c89fb3', 'abde59c2', '3603f41d', 'af93b0bf', '26496f07', '65f5c13d', 'c7e931a8', '6f85e328', '9cc27236', 'e8fa52d6', 'f68eb8e4', 'f68eb8e4', 'f68eb8e4', '0d81b7f2', '51d89672', '0b95a706', '98d3e222', 'a5702026', 'b33dc12b', 'e5501d1b', '37725244', 'b28bb6ef', '3e77b9f4', '6f5f2690', '89a369ad', '04ffe405', '3970735d', '783b1f95', '5a1e6a02', '2b72ceae', 'f2e3b8eb', '1ffd211a', '9b4b21b1', 'fd84b68a', '38ae446e', 'dcf505c7', 'ee009b80', 'b78b0d1c', '1ae4a343', '2f9ca4d2', '47e60ac4', 'ff5ff20a', '656188b2', '32c1339d', '7242e880', '26e3bf03', 'f1fb02d0', 'c065752d', '78706e94', '27ead1d6', '2738470e', '81570eca', '81570eca', '81570eca', '1f69a3cb', '831f926d', 'b036c693', '3f222b1d', 'cc5aca8b', 'c3e09790', 'caf813a1', 'bb31bdb1', 'd89973dd', '67394a1f', '82f1ba5f', '600b3975', '4cf7e1aa', '4cf7e1aa', '849b02a6', 'f83e6a2e', 'd4784915', 'a197d6a2', '13633303', 'c6f4494c', '150b0427', '88db7254', '7703a1af', '161bf48e', '188c5f1e', 'c68bb003', 'ae287f59', 'ae287f59', 'de75fb28', '673d005c', '4724b9c6', 'ad5f0c55', '5af3b2ac', 'a5d50319', 'b0bbcf3f', '6d754f86', '37284cf6', '0374e66a', '0196bfa7', '41420577', '8472475f', '8a0c79c2', 'd385c294', '89d6c0bc', 'b33824d4', '97bfa854', '606089ef', 'a621095e', '2ba4d1c6', '254f2efd', '40fb08ef', '03b733dc', '72f9e71d', '28cba8b5', 'e883ea13', '39e8fcaa', '41b01604', 'ebb8f5a0', 'f0ed32da', '01dba695', 'cbf5ea03', '27d1d531', '12c592a7', '40cdb306', '41a20296', '3823aad9', 'b4628164', '67810a1b', 'e58a0623', 'c8ae00bd', '1a6a6fce', '7a792803', 'f2a3a5db', '046dc07f', '23d1fa36', 'f302416e', 'c45341a8', '7b75cf28', '67859ac7', '4cf7e1aa', '25306ff4', 'fc1c35c2', 'c89d1fe7', '02267566', '997c98ff', 'ad2e995e', '7160d84c', 'bcbdb328', 'e43eff51', '0e85d95d', '4e6d7227', 'e86990ca', '5454f9e5', '99e2b37f', '007c0c8e', 'd1a5b18e', '2a7cba13', '4e948eb7', 'e2a5c349', 'a9cf822c', '4a4cc419', '41d595cd', '959ef244', 'd905918d', '7c36026c', '7c36026c', 'ca351b7a', 'bf020c29', 'd261192f', '6f73be6a', '2bfc3479', 'aa1cbecf', '7aee4ddc', '280d61e1', '660de199', '0aa93483', '72b649c7', '758cb09f', '4e878ede', 'a05bc841', '10712afc', '7e02dac3', 'a4702e52', 'e62c4c57', '8e99b089', 'bd639dea', '6404a4f6', '52798156', '18b26470', '6e8603f1', 'de806c15', 'af58c906', '11f62dbb', '16b53187', 'ee10578b', '2261d2d4', 'da6d6d8e', '269b44be', '5f33e370', '1ca5b544', '1c6d8f69', 'eb549a93', '16ed5134', '16ed5134', 'f33bc894', '125fc5e3', '263c2046', '2d507211', 'f1aee3ec', '98fe69ae', '41d6f45e', 'c6be375b', '247ede63', 'cfd0f726', '60f843af', 'f01bec13', '231b1213', 'e1e6425e', '093a7957', '940c969d', '70a02fee', 'c9d5cbd8', 'a979e111', 'adced2ec', '9328adca', '90ad1fcc', '83c10937', '2b13e479', '85146687', '7aa0afbc', '4da1ef57', '9a9f73eb', '72cef8a9', 'a7b6d12b', 'e9245984', '8b9dd862', '4924681c', 'cf7bb75a', '15337a87', '2d03d7ac', '48f1eb2c', 'c3af0ef9', '07d17ede', '1f1eef57', '5135ac36', 'c8842ab6', '6aa42f09', '34dee377', '85dbc966', '75ab8e9c', '90367e6f', '80ee95a1', '8ea54c70', '0e6b9574', 'af5c4722', '15f220f3', 'abfd4c3b', 'd8d95898', '2677eb45', 'ff28f6ad', '8b32d9a4', '8189689a', '2b41efca', '705c7e9b', '4bb7da07', 'e228753f', '949603c4', '4303c255', '77edbcbd', '1dea48f3', 'b6ad369b', 'd8b3528e', 'a3d78f0b', 'b9e22241', '24b96bcb', '631afa06', 'b13637a0', '3eac3430', 'ff576615', 'bde24557', 'f38c7953', '4fb408d3', '97a0f483', '3c4c59e6', '9bcdbed8', '576113d1', 'afc7faaa', 'b2fc2dff', '490f8b8b', 'ce32b066', '4cf7e1aa', '46f1ab9f', '5c704a21', '681c733e', '6897838d', '1222dfc2', 'd630d15b', '4b0d2677', 'a9c7984c', 'c04ca389', 'd2ca3be9', '4f4cf65f', 'c4e2a956', 'e9d4bf0b', '7cd80e6e', 'b462bd23', '80bbbc0c', 'b0329ee2', 'e3a00f93', 'c2b08495', '4c7b821a', 'c01f1e37', '9f1ae578', 'a6da44ec', 'e2294153', '83bdabd7', '8802aeb3', '05477bd4', '1ffb045d', '28db4787', '33e3e52a', 'f2d8c561', '8735c91c', '78fe1753', '39e3c3b7', '245fe5f1', '26b6a62f', '37bd5e8a', '78adfbdc', '6b824186', 'c457fe34', '8b4ee663', 'c46674b4', '9beb2d86', '79541e83', '9bb9bb06', '34cc4d49', 'fb5ed0a2', '570114d4']"
