house_id,device_id,gas_meter_id,lat,long,hours_of_sunlight_per_year,sq_ft_available_for_solar_panels
f49a40a7,31805957,46263639.0,42.21262095,-72.62570454,1487,934
e48445a5,18203628,49761430.0,42.21237406,-72.62578725,1133,0
5d66409b,31048193,,42.21273294,-72.62583075,1503,617
4aae9cc0,31806274,54363656.0,42.21249369,-72.62580175,1455,687
c6135eac,31806347,56354546.0,42.2120874,-72.62679233,1482,793
4ad69f26,20378294,35590843.0,42.21262055,-72.62618977,1392,564
50d1ca84,31806259,54459951.0,42.21235145,-72.62680415,1297,0
7eb88901,20378254,,42.2127637,-72.62620354,1493,511
86e65cdb,52062017,,42.23943135,-72.62504157,938,0
e4f4f01e,52062238,,42.2388975,-72.6256487,1082,0
3d870d2d,52062239,90974895.0,42.23909875,-72.62537096,1150,0
b00016ab,83769552,,42.23966905,-72.62473114,938,0
063421f8,83769553,,42.23843535,-72.62595575,1351,1057
8dfc40db,57531731,,42.2386612,-72.62584828,1221,1092
e69c77c6,31804868,54354621.0,42.1892212,-72.64137492,1399,934
e8bb8c9f,31804280,54460331.0,42.18894825,-72.64099277,1405,1409
c4ea6ba3,31804327,90974852.0,42.1892849,-72.64088583,1380,1374
4d4f1030,31043223,,42.18860135,-72.64122722,1374,1304
617f4361,31804855,,42.18903755,-72.64150584,1383,1321
441a2a56,31804704,46263590.0,42.18940915,-72.64125103,1399,1498
ed697de7,31804330,,42.18886495,-72.64162902,1357,934
9b089c80,31804281,35568711.0,42.18877865,-72.64111375,1367,1321
64f0a509,31804853,,42.188687,-72.6417456,1346,1163
c038a5f0,31804278,92337533.0,42.18914975,-72.64083534,1380,1374
a708c4b7,77133734,41119824.0,42.19546865,-72.61005314,1368,9021
c296901c,83779535,92337621.0,42.27395273,-72.60537606,0,0
c296901c,83770487,,42.27395273,-72.60537606,0,0
342b3bfc,31801387,40474772.0,42.19871405,-72.63222461,1425,846
1e1ef3ce,31801842,,42.19876575,-72.63375747,1490,1180
a6787838,31801009,54459963.0,42.19928153,-72.6313023,1475,1709
d4940612,18039010,49755780.0,42.2090627,-72.61473341,1407,687
0a003035,18038747,,42.20910595,-72.61485981,1386,951
70a0e55e,85116753,90974948.0,42.2089128,-72.61451949,1452,969
24169599,31800895,46300107.0,42.208818,-72.61417,1366,617
53a44bf8,31051044,54363550.0,42.1973666,-72.62349835,1431,1409
7faf598b,31049963,,42.19710682,-72.62371975,1290,1603
948a87fd,31049947,,42.19731995,-72.62436656,1360,617
1bc7dca4,28357429,49769128.0,42.19712441,-72.62336345,1392,0
bfeec959,20376756,46300175.0,42.19712405,-72.62397265,1157,0
ca0f7a4b,31804212,40475189.0,42.218571,-72.622921,1463,722
058354b3,20377739,90971704.0,42.22290405,-72.6258952,1271,1163
72babab8,20379649,49760321.0,42.2236195,-72.6253235,1338,2097
8187ab4e,57553363,49760808.0,42.2227201,-72.62474689,1329,934
498c977d,57553366,49768085.0,42.22323145,-72.62460378,1236,899
004ce2ed,20379650,49768043.0,42.22391,-72.625111,1384,1603
01df7653,31804371,49769190.0,42.2237189,-72.62456095,1340,1269
16ee506c,31801347,,42.2238263,-72.62404207,1283,1163
c6ba88aa,20379652,46334991.0,42.2239743,-72.62472069,979,0
3b21725e,31801302,33419104.0,42.2235806,-72.62394492,1452,2484
3446659d,20379633,49761020.0,42.2240863,-72.62413198,1465,810
c685f51d,30129080,40474685.0,42.22346045,-72.62452478,1455,1339
e06f63d8,31801841,56354527.0,42.2230082,-72.62466675,1190,0
5e75ab58,83771922,34356541.0,42.18366175,-72.63704595,1356,969
5e75ab58,83779399,,42.18366175,-72.63704595,0,0
48aba68a,52061969,97063758.0,42.2234645,-72.62786545,1311,1868
9cad1cfb,30527430,35567694.0,42.2216434,-72.6289704,1121,0
4e4e3620,31800888,49768614.0,42.22252395,-72.62782684,1088,0
7ba6652b,20380240,56354497.0,42.2229563,-72.62772808,1487,1216
64869c44,30129089,46335350.0,42.22276335,-72.62835391,1279,722
715b9a87,31804901,49761064.0,42.22350685,-72.62750917,1402,793
fb6272a3,31048920,54354542.0,42.2226209,-72.62873847,1441,2378
f2a9bc79,31048947,56354531.0,42.22343485,-72.62819701,1147,0
84704ad6,20378913,46300214.0,42.2223868,-72.62815571,1281,1092
89a35b27,30524671,49747344.0,42.2229067,-72.62882444,1452,3048
0bba6c24,31048921,56365749.0,42.22291235,-72.62806402,1454,1445
1b006dd0,20378914,33418232.0,42.22226225,-72.62836909,1334,969
b146a06c,31048778,54460391.0,42.2233929,-72.6286144,1399,1321
b003f3da,30129177,90971844.0,42.2042936,-72.6802539,1240,1110
7d1ffb12,28357422,49768775.0,42.20585111,-72.62076903,1403,722
9fb714a6,31804348,35569088.0,42.20570675,-72.62013974,1395,1938
598c8fa7,29995187,54341798.0,42.20640775,-72.6203005,1340,1339
a31716c9,20176500,33418998.0,42.20629442,-72.6204127,1368,1057
6211d87a,31800855,46263644.0,42.19625027,-72.6195552,1446,1022
c4f30eeb,20377767,97049251.0,42.20264425,-72.68837805,1226,0
180fccb6,20380978,,42.200763,-72.688237,1251,0
0e1191ea,20380972,97049158.0,42.2031837,-72.68848452,1268,669
006c1be9,20377765,33466486.0,42.2029195,-72.68842605,1256,1180
7d54c7c5,20380971,90974292.0,42.20201325,-72.68733757,1204,1374
3df911e8,20380969,49747328.0,42.20239565,-72.68830787,1135,0
6bf5a3a8,20379604,,42.2054267,-72.6891965,1129,0
bfcfea8e,31804188,,42.1881426,-72.64186013,1092,0
a3493eb9,30128626,54381000.0,42.18838145,-72.64137825,1297,846
d2c0d9c1,18038727,46302297.0,42.1876166,-72.64161267,1220,1039
eee6f669,18019517,92332032.0,42.187651,-72.64111536,1279,1480
6502674a,18019519,46335000.0,42.1873709,-72.64157905,1278,1145
54e99c03,18038728,,42.18787595,-72.64173083,1322,1039
a3330060,31804328,46302183.0,42.18843775,-72.641836,1270,1233
c5d15357,31043195,,42.20544215,-72.67057996,1333,1691
c2adfc5e,31801762,54459964.0,42.2038958,-72.61672679,1350,405
099a43c5,31801970,46300333.0,42.20379705,-72.61638562,1346,705
6bc1e0c6,29339900,54459615.0,42.20384081,-72.61634352,1376,511
d257055d,56504352,35544044.0,42.20432509,-72.61694506,1424,1427
c47a6ce3,20176455,90974789.0,42.20427007,-72.61699655,1435,669
30f70b4d,31801755,46335029.0,42.20366576,-72.6165119,1339,705
1ac32279,31801971,54460066.0,42.20393755,-72.61667465,1350,405
0892400a,57532840,,42.26595685,-72.61032472,984,0
45ed051e,83769495,,42.26477305,-72.61234993,1039,0
2d76a96e,57531779,,42.2656168,-72.61113861,1189,0
db3a3c07,20378977,49756061.0,42.22226055,-72.63089151,1096,0
136cad8d,31116129,54458076.0,42.22237757,-72.63103807,1096,0
a06e40b7,31801820,49755962.0,42.22205115,-72.6320073,1241,2114
112387eb,31116132,46300515.0,42.2222763,-72.63046936,1231,2396
54df8e88,57531739,35562591.0,42.22214245,-72.63165099,1004,0
f2edc9bb,20378986,33419182.0,42.22220805,-72.63122714,1135,0
35639396,52061796,30850929.0,42.21738255,-72.62767119,1402,881
fd612a67,52061994,46264321.0,42.2170855,-72.62834022,1083,0
7197bc54,52061966,49762653.0,42.21735517,-72.6279712,1387,916
e8c09847,31804243,33447832.0,42.20541935,-72.62690343,1437,669
5c1e541d,31801957,40474057.0,42.2055321,-72.6266158,1409,740
caa082da,31042227,49756448.0,42.2058741,-72.62624066,1350,2484
